OBJECTID;Anlage;Baumnummer;Gattung_Dt;Gattung_Lat;Pflanzdatum;X;Y;Lon;Lat
8184;Franz-Greiter-Promenade;17;Schwarzpappel;Populus nigra;;80684,0051999995;238169,2171;11,399400395;47,2774285790001
8185;Frauenanger;4;Sandbirke;Betula pendula;;80676,5038999999;235644,147600001;11,398846645;47,2547211850001
8186;Florian Brunnen - Pradlerstraße;3;Krimlinde;Tilia euchlora;09.05.2016;81362,3682000004;237135,2334;11,4081767330001;47,2680463240001
8187;Kranebitter Allee;48;Winterlinde;Tilia cordata;;77853,6984999999;236612,285399999;11,3617286310001;47,2637676520001
8188;Kranebitter Allee;328;Gemeine Esche;Fraxinus excelsior;;77573,9913999997;236579,1832;11,3580276370001;47,26350297
8189;Kranebitter Allee;362;Winterlinde 'Rancho';Tilia cordata 'Rancho';27.10.2016;77753,5783000002;236611,0363;11,3604057080001;47,2637682500001
8190;Eichhof Block;29;Spitzahorn;Acer platanoides;;81782,2434;236733,8177;11,4136508710001;47,2643843180001
8191;Ing.-Etzel-Straße;64;Kegelscheinakazie;Robinia pseudoacacia 'Bessoniana';14.04.2016;81408,4759999998;237838,1834;11,4089136600001;47,2743623280001
8192;Beethovenstraße;16;Sandbirke;Betula pendula;17.11.2016;81494,8974000001;238068,521400001;11,410097513;47,2764230830001
8193;Technikerstraße;68;Spitzahorn;Acer platanoides;15.11.2000;76161,5199999996;236563,35;11,3393645190001;47,2635254750001
8194;Franz-Greiter-Promenade;61;Spitzahorn;Acer platanoides;;80980,9100000001;238410,880000001;11,4033675200001;47,2795654080001
8195;Franz-Gschnitzer-Promenade;12;Roßkastanie;Aesculus hippocastanum;;79538,659;236683,336999999;11,3840014400001;47,2642052310001
8196;Franz-Gschnitzer-Promenade;18;Platane;Platanus acerifolia;;79513,1840000004;236639,851;11,38365717;47,2638172300001
8197;Arthur-Haidl-Promenade;232;Sommerlinde;Tilia platyphyllos;;79098,7819999997;236115,460999999;11,3780899160001;47,259151198
8198;Neuhauserstraße;12;Spitzahorn;Acer platanoides;;80355,6699999999;235881,699999999;11,3946513930001;47,2568967610001
8199;Mandelsbergerstraße;22;Säuleneberesche;Sorbus thuringiaca 'Fastigiata';30.10.2015;79333,8095000004;235871,280300001;11,3811514080001;47,2569269560001
